,symbol,date,day,time,open,high,low,close,hlmean,volume,today_volume,volatility,v_factor,pct_change,spy_pct_change,pct_corr,volume:volatility
39,TSLA,2020-10-22, Thu, 12:25,430.63,430.64,429.75,430.345,430.19,86728,26.948521,0.89,0.21,-2.586,-0.082,0.6535167871734014,0.694819686055888
40,TSLA,2020-10-22, Thu, 12:26,430.2501,430.5,430.0,430.399,430.25,36015,26.984536,0.5,0.12,-2.617,-0.128,0.6535167871734014,0.694819686055888
41,TSLA,2020-10-22, Thu, 12:27,430.36,430.5,429.91,429.929,430.21,38329,27.022865,0.59,0.14,-2.617,-0.128,0.6535167871734014,0.694819686055888
42,TSLA,2020-10-22, Thu, 12:28,429.88,430.1,429.55,429.9489,429.83,52766,27.075631,0.55,0.13,-2.708,-0.128,0.6535167871734014,0.694819686055888
43,TSLA,2020-10-22, Thu, 12:29,429.85,430.2397,429.7601,429.8616,430.0,36753,27.112384,0.48,0.11,-2.676,-0.14,0.6535167871734014,0.694819686055888
44,TSLA,2020-10-22, Thu, 12:30,429.89,430.29,429.56,430.29,429.93,49424,27.161808,0.73,0.17,-2.665,-0.09,0.6535167871734014,0.694819686055888
45,TSLA,2020-10-22, Thu, 12:31,430.22,430.59,430.22,430.43,430.4,43103,27.204911,0.37,0.09,-2.597,-0.079,0.6535167871734014,0.694819686055888
46,TSLA,2020-10-22, Thu, 12:32,430.3058,430.35,429.32,429.413,429.84,68260,27.273171,1.03,0.24,-2.651,-0.134,0.6535167871734014,0.694819686055888
47,TSLA,2020-10-22, Thu, 12:33,429.51,429.6499,428.71,429.09,429.18,83566,27.356737,0.94,0.22,-2.81,-0.175,0.6535167871734014,0.694819686055888
48,TSLA,2020-10-22, Thu, 12:34,429.03,429.27,428.81,429.09,429.04,35035,27.391772,0.46,0.11,-2.895,-0.175,0.6535167871734014,0.694819686055888
49,TSLA,2020-10-22, Thu, 12:35,429.01,429.48,428.68,429.2394,429.08,63126,27.454898,0.8,0.19,-2.848,-0.19,0.6535167871734014,0.694819686055888
50,TSLA,2020-10-22, Thu, 12:36,429.15,429.35,428.794,429.15,429.07,47261,27.502159,0.56,0.13,-2.877,-0.178,0.6535167871734014,0.694819686055888
51,TSLA,2020-10-22, Thu, 12:37,429.12,429.17,428.2001,428.44,428.69,55767,27.557926,0.97,0.23,-2.918,-0.184,0.6535167871734014,0.694819686055888
52,TSLA,2020-10-22, Thu, 12:38,428.3851,428.86,428.3,428.7568,428.58,44184,27.60211,0.56,0.13,-2.988,-0.192,0.6535167871734014,0.694819686055888
53,TSLA,2020-10-22, Thu, 12:39,428.8088,429.2,428.65,429.15,428.92,35138,27.637248,0.55,0.13,-2.911,-0.207,0.6535167871734014,0.694819686055888
54,TSLA,2020-10-22, Thu, 12:40,429.1,429.2,428.6173,429.1229,428.91,40710,27.677958,0.58,0.14,-2.911,-0.198,0.6535167871734014,0.694819686055888
55,TSLA,2020-10-22, Thu, 12:41,429.03,429.58,429.02,429.501,429.3,40044,27.718002,0.56,0.13,-2.825,-0.172,0.6535167871734014,0.694819686055888
56,TSLA,2020-10-22, Thu, 12:42,429.475,429.475,428.71,428.86,429.09,57670,27.775672,0.77,0.18,-2.849,-0.172,0.6535167871734014,0.694819686055888
57,TSLA,2020-10-22, Thu, 12:43,428.8666,429.0,428.31,428.485,428.65,38019,27.813691,0.69,0.16,-2.957,-0.192,0.6535167871734014,0.694819686055888
58,TSLA,2020-10-22, Thu, 12:44,428.5249,428.87,428.3,428.66,428.59,41557,27.855248,0.57,0.13,-2.986,-0.192,0.6535167871734014,0.694819686055888
59,TSLA,2020-10-22, Thu, 12:45,428.695,429.66,428.695,429.44,429.18,64090,27.919338,0.97,0.22,-2.807,-0.187,0.6535167871734014,0.694819686055888
60,TSLA,2020-10-22, Thu, 12:46,429.34,429.7,429.13,429.3774,429.41,62701,27.982039,0.57,0.13,-2.798,-0.117,0.6535167871734014,0.694819686055888
